FID_1,FID_1_1,FID_,FID_base_t,x_s,y_s,x_e,y_e,FID_2,OBJECTID,FID_市界,NAME,ADMINCODE,KIND,CITYCODE,PROVINCENA,FID_gis_os,osm_id,code,fclass,name_1,ref,oneway,maxspeed,layer,bridge,tunnel,road_len
3149,4472,4472,2436,113.3019537810 ,23.1439653436 ,113.3020825610 ,23.1435742735 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,44.91618539
3150,4617,4617,2435,113.3017780840 ,23.1444365635 ,113.3019537810 ,23.1439653436 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,219.3641573
3151,4903,4903,2434,113.3009784790 ,23.1462911195 ,113.3017780840 ,23.1444365635 ,7082,7420,1,,440183,137,440100,4??,534159,249319409,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,130.242552
3152,4058,4058,2471,113.3026537030 ,23.1400727640 ,113.3026616510 ,23.1406237305 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,122.6922713
3153,4104,4104,2472,113.3026616510 ,23.1406237305 ,113.3026466500 ,23.1410679800 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,60.54208537
3154,4129,4129,2473,113.3026466500 ,23.1410679800 ,113.3026316580 ,23.1413749842 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,48.83505842
3155,4144,4144,2474,113.3026316580 ,23.1413749842 ,113.3026316510 ,23.1414722456 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,33.76599029
3156,4145,4145,2442,113.3024869290 ,23.1414762982 ,113.3025398740 ,23.1407802822 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,76.66268663
3157,4187,4187,2441,113.3024479780 ,23.1418462195 ,113.3024869290 ,23.1414762982 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,70.70046729
3158,4211,4211,2475,113.3026316510 ,23.1414722456 ,113.3025547560 ,23.1420996312 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,69.37432839
3159,4282,4282,2476,113.3025547560 ,23.1420996312 ,113.3024559110 ,23.1426183987 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,57.87673529
3160,4304,4304,2477,113.3024559110 ,23.1426183987 ,113.3023800340 ,23.1429388046 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,57.87673529
3161,4319,4319,2478,113.3023800340 ,23.1429388046 ,113.3023191350 ,23.1431792159 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,27.12982017
3162,4483,4483,2479,113.3023191350 ,23.1431792159 ,113.3020296350 ,23.1439843034 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,27.12982017
3163,4607,4607,2480,113.3020296350 ,23.1439843034 ,113.3018848850 ,23.1443658052 ,7087,7425,1,,440183,137,440100,4??,534164,249319416,5112,trunk,Inner Ring Highway, ,F,0,0,F,F,93.21989561
3164,3075,3075,1987,113.3022278900 ,23.1346187922 ,113.3021291900 ,23.1329754251 ,7088,7426,1,,440183,137,440100,4??,534165,249319417,5112,trunk,内环路, ,F,0,1,T,F,5.552410246
3165,3113,3113,1987,113.3022278900 ,23.1346187922 ,113.3021291900 ,23.1329754251 ,7088,7426,1,,440183,137,440100,4??,534165,249319417,5112,trunk,内环路, ,F,0,1,T,F,5.552410246
3166,3124,3124,1987,113.3022278900 ,23.1346187922 ,113.3021291900 ,23.1329754251 ,7088,7426,1,,440183,137,440100,4??,534165,249319417,5112,trunk,内环路, ,F,0,1,T,F,5.552410246
3167,3341,3341,2447,113.3023265900 ,23.1362582621 ,113.3022278900 ,23.1346187922 ,7088,7426,1,,440183,137,440100,4??,534165,249319417,5112,trunk,内环路, ,F,0,1,T,F,98.40042217
3168,3514,3514,2446,113.3023953830 ,23.1373638990 ,113.3023265900 ,23.1362582621 ,7088,7426,1,,440183,137,440100,4??,534165,249319417,5112,trunk,内环路, ,F,0,1,T,F,11.2624994
3169,3546,3546,2446,113.3023953830 ,23.1373638990 ,113.3023265900 ,23.1362582621 ,7088,7426,1,,440183,137,440100,4??,534165,249319417,5112,trunk,内环路, ,F,0,1,T,F,11.2624994
